T_years,ATM_IV,IV_25C,IV_25P,RR25,BF25
0.019178082191780823,0.08283857534538339,0.10463487485850437,0.1397450736217268,-0.03511019876322244,0.0393513988947322
0.020594120363244574,0.08283846745759053,0.10475915411690022,0.13963052511017812,-0.0348713709932779,0.03935637215594863
0.022010158534708328,0.08286223752641615,0.10491995677205058,0.13948651827886333,-0.03456656150681274,0.039340999999040796
0.02342619670617208,0.08320375669208578,0.1053161216727932,0.1401152230804777,-0.034799101407684496,0.03951191568454966
0.024842234877635833,0.08352746482922224,0.10571589671235185,0.1406213953115412,-0.034905498599189344,0.03964118118272428
0.026258273049099584,0.0839551723174181,0.10630017334173515,0.14124282135588775,-0.0349426480141526,0.03981632503139336
0.02767431122056334,0.08423966803531353,0.10660586775754725,0.14195277435721404,-0.035346906599666786,0.04003965302206712
0.02909034939202709,0.08411402701643264,0.10591672415286128,0.14372169158879866,-0.03780496743593738,0.04070518085439734
0.03050638756349084,0.08398846814144575,0.10536258277905207,0.14487753750756888,-0.03951495472851681,0.041131592001864725
0.031922425734954595,0.08384291547188333,0.10512314711015226,0.14400960988932124,-0.038886462779168976,0.04072346302785343
0.03333846390641835,0.08370950563896186,0.10493549138588316,0.14308129275024198,-0.038145801364358814,0.04029888642910072
0.034754502077882096,0.08358677950176874,0.10480663874579864,0.14209974250322438,-0.03729310375742574,0.03986641112274278
0.03617054024934585,0.08347350276185042,0.1047375500205927,0.14106442111662718,-0.03632687109603447,0.03942748280675952
0.037586578420809605,0.08336862425092605,0.10472802089735814,0.13997440169561323,-0.035246380798255095,0.03898258704555964
0.03900261659227336,0.0832098062838784,0.10462496118193727,0.1397272508145668,-0.03510228963262953,0.03896629971437364
0.040418654763737114,0.0829910852243903,0.104438819187913,0.14053748021447976,-0.03609866102656675,0.03949706447680608
0.04183469293520086,0.08378511888390373,0.10521375652577243,0.14212630407353172,-0.036912547547759286,0.039884911415748334
0.04325073110666461,0.08538832607280185,0.10678978297268325,0.14397482553686938,-0.03718504256418613,0.03999397818197446
0.04466676927812836,0.08602432500977884,0.10732448975570515,0.14495013917830613,-0.03762564942260098,0.040112989457226786
0.04608280744959212,0.08604416136355708,0.1070942972216326,0.1455924582896835,-0.0384981610680509,0.04029921639210099
0.04749884562105587,0.08662762969645217,0.10757865964103494,0.1477067292098898,-0.04012806956885487,0.04101506472901022
0.048914883792519626,0.08746299995757882,0.10843086550207134,0.1505627836169089,-0.04213191811483755,0.04203382460191131
0.05033092196398338,0.08737264449858984,0.10829441830362758,0.15063269271854704,-0.042338274414919455,0.042090911012497484
0.051746960135447134,0.08695059450923794,0.10779842530150524,0.14963948004301317,-0.04184105474150793,0.041768358163021255
0.053162998306910875,0.0865491312490081,0.10733297394789544,0.1486701423323688,-0.04133716838447336,0.04145242689112402
0.05457903647837463,0.08616677230924563,0.10689644858501743,0.14772253916158057,-0.04082609057656314,0.04114272156405335
0.05599507464983838,0.08580217523207942,0.1064890008861113,0.14679737906280863,-0.04030837817669733,0.04084101474238053
0.05741111282130214,0.08545412128148752,0.10610857018152525,0.14589038095067278,-0.039781810769147524,0.04054535428461151
0.05882715099276589,0.0857399692828587,0.10645552834948539,0.14633600231143468,-0.039880473961949284,0.04065579604760135
0.060243189164229646,0.08606860519696344,0.10685713301424682,0.14686047336483316,-0.040003340350586336,0.04079019799257655
0.0616592273356934,0.08650035730407346,0.10714198802615559,0.14794359399857335,-0.04080160597241776,0.041042433708291
0.06307526550715714,0.0869134208909041,0.10741001355770421,0.14896354590609276,-0.041553532348388544,0.04127335884099438
0.0644913036786209,0.08730909816193547,0.10792729807467134,0.14930616597256352,-0.04137886789789218,0.04130763386168196
0.06590734185008465,0.08767942755684105,0.10837355584333117,0.1497034715214582,-0.04132991567812702,0.04135908612555361
0.0673233800215484,0.08797934348251055,0.10828983722328707,0.15109455949094233,-0.04280472226765526,0.04171285487460416
0.06873941819301216,0.08822537249872082,0.10820118566371824,0.15214913718143308,-0.04394795151771484,0.04194978892385483
0.07015545636447591,0.08827225110695217,0.10821801824949914,0.1516013672301899,-0.04338334898069077,0.041637441632892375
